Status (new / used),# of Search results,1st link part,Keywords parameter,Job position parameter,2nd link part,Link formula,Results
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20recruitment,title=Chairman,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20recruitment&title=Chairman&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20recruitment&title=Chairman&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20recruitment,title=Head%20of,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20recruitment&title=Head%20of&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20recruitment&title=Head%20of&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20supply%20chain,title=CEO,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20supply%20chain&title=CEO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20supply%20chain&title=CEO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20supply%20chain,title=Founder,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=Founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=Founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20supply%20chain,title=co-founder,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=evolve%20automotive&title=co-founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=evolve%20automotive&title=co-founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20supply%20chain,title=business%20owner,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=paragon%20automotive&title=business%20owner&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=paragon%20automotive&title=business%20owner&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20supply%20chain,title=Director,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=ring%20automotive&title=Director&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=ring%20automotive&title=Director&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20supply%20chain,title=VP,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=unipart%20automotive&title=VP&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=unipart%20automotive&title=VP&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20supply%20chain,title=Managing%20director,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20supply%20chain&title=Managing%20director&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20supply%20chain&title=Managing%20director&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20supply%20chain,title=CIO,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20supply%20chain&title=CIO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20supply%20chain&title=CIO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20supply%20chain,title=CTO,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20supply%20chain&title=CTO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20supply%20chain&title=CTO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20supply%20chain,title=Chairman,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20supply%20chain&title=Chairman&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20supply%20chain&title=Chairman&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20supply%20chain,title=Head%20of,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20supply%20chain&title=Head%20of&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20supply%20chain&title=Head%20of&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20training,title=CEO,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=CEO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=CEO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20training,title=Founder,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=evolve%20automotive&title=Founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=evolve%20automotive&title=Founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20training,title=co-founder,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=paragon%20automotive&title=co-founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=paragon%20automotive&title=co-founder&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20training,title=business%20owner,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=ring%20automotive&title=business%20owner&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=ring%20automotive&title=business%20owner&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20training,title=Director,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=unipart%20automotive&title=Director&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=unipart%20automotive&title=Director&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
used,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20training,title=VP,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=VP&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=VP&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
new,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20training,title=Managing%20director,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=Managing%20director&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=Managing%20director&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
new,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20training,title=CIO,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=CIO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=CIO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
new,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20training,title=CTO,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=CTO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=CTO&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
new,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20training,title=Chairman,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=Chairman&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=Chairman&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
new,,https://www.linkedin.com/vsearch/p?,keywords=automotive%20training,title=Head%20of,openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=Head%20of&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS,https://www.linkedin.com/vsearch/p?keywords=automotive%20training&title=Head%20of&openAdvancedForm=true&titleScope=C&locationType=I&countryCode=gb&f_N=S&rsid=4616588961451726742981&orig=ADVS
